order,clade_path,source
Dilleniales,Angiosperms > Eudicots,APG IV 2016 (doi:10.1111/boj.12385)
Saxifragales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Vitales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Zygophyllales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Fabales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Rosales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Fagales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Cucurbitales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Celastrales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Oxalidales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Malpighiales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Geraniales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Myrtales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Crossosomatales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Picramniales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Huerteales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Sapindales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Malvales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Brassicales,Angiosperms > Eudicots > Superrosids,APG IV 2016 (doi:10.1111/boj.12385)
Santalales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385)
Caryophyllales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385)
Cornales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385)
Ericales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385)
Icacinales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385)
Metteniusales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385)
Gentianales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385)
Boraginales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385)
Solanales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385)
Lamiales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385)
Aquifoliales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385)
Cardiopteridales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385) places Cardiopteridaceae in Aquifoliales (campanulids); the order name comes from the Kew Tree of Life labels used by the ETL
Asterales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385)
Escalloniales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385)
Bruniales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385)
Dipsacales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385)
Apiales,Angiosperms > Eudicots > Superasterids,APG IV 2016 (doi:10.1111/boj.12385)
